fe,ft,ts
0.0,0.0,60.057785618436355
0.05357142857142857,0.0,50.96929036044351
0.10714285714285714,0.0,43.20479194908418
0.1607142857142857,0.0,36.540582999134344
0.21428571428571427,0.0,30.806365205582708
0.26785714285714285,0.0,25.878610108651884
0.3214285714285714,0.0,21.79016700584037
0.375,0.0,18.695097404039867
0.42857142857142855,0.0,15.780641166059553
0.4821428571428571,0.0,13.278159105503036
0.5357142857142857,0.0,11.541982363825882
0.5892857142857143,0.0,10.395112114655793
0.6428571428571428,0.0,9.916882101373957
0.6964285714285714,0.0,10.047981894237235
0.75,0.0,10.868747712196882
0.8035714285714285,0.0,12.513090747132644
0.8571428571428571,0.0,15.177513051037295
0.0,0.061875,47.49964945614005
0.05357142857142857,0.061875,40.060155071389964
0.10714285714285714,0.061875,32.08021236000618
0.1607142857142857,0.061875,25.53297360128335
0.21428571428571427,0.061875,20.721957028280258
0.26785714285714285,0.061875,16.99302043824691
0.3214285714285714,0.061875,13.836014466423599
0.375,0.061875,11.592781729056263
0.42857142857142855,0.061875,9.177656975997262
0.4821428571428571,0.061875,7.651048471067679
0.5357142857142857,0.061875,6.853134314620179
0.5892857142857143,0.061875,6.5962427403148
0.6428571428571428,0.061875,6.886972960293727
0.6964285714285714,0.061875,8.454294147963738
0.75,0.061875,11.093785366417286
0.8035714285714285,0.061875,13.274222008508126
0.0,0.12375,37.34811619024913
0.05357142857142857,0.12375,29.70068674008401
0.10714285714285714,0.12375,22.294713000488983
0.1607142857142857,0.12375,17.943777783165366
0.21428571428571427,0.12375,13.54032947053715
0.26785714285714285,0.12375,10.54359001948227
0.3214285714285714,0.12375,8.260145665124968
0.375,0.12375,6.655112154378816
0.42857142857142855,0.12375,4.92194039598133
0.4821428571428571,0.12375,4.910997676051823
0.5357142857142857,0.12375,4.827992044404272
0.5892857142857143,0.12375,4.820187383751255
0.6428571428571428,0.12375,5.699590115381545
0.6964285714285714,0.12375,8.556478613375077
0.75,0.12375,11.370930965978959
0.0,0.18562499999999998,29.41508461089215
0.05357142857142857,0.18562499999999998,21.225815872641483
0.10714285714285714,0.18562499999999998,16.028072747588638
0.1607142857142857,0.18562499999999998,11.677137530265014
0.21428571428571427,0.18562499999999998,8.301867497675559
0.26785714285714285,0.18562499999999998,5.951419469271675
0.3214285714285714,0.18562499999999998,4.452757080579692
0.375,0.18562499999999998,3.0969277809489957
0.42857142857142855,0.18562499999999998,2.9858210693457097
0.4821428571428571,0.18562499999999998,3.1528791403573613
0.5357142857142857,0.18562499999999998,3.9540739885017233
0.5892857142857143,0.18562499999999998,4.291247990566389
0.6428571428571428,0.18562499999999998,6.780800318769886
0.6964285714285714,0.18562499999999998,9.55032856903081
0.0,0.2475,23.512453508197666
0.05357142857142857,0.2475,15.731905773277687
0.10714285714285714,0.2475,11.140441197887155
0.1607142857142857,0.2475,7.632968926141782
0.21428571428571427,0.2475,4.5361404772057
0.26785714285714285,0.2475,2.7471233335209493
0.3214285714285714,0.2475,2.2122352995410077
0.375,0.2475,1.8015243352669117
0.42857142857142855,0.2475,1.874072335061549
0.4821428571428571,0.2475,1.8348623294378812
0.5357142857142857,0.2475,3.0452037678950377
0.5892857142857143,0.2475,6.445801366104135
0.6428571428571428,0.2475,9.240345146025238
0.0,0.309375,19.777699413560498
0.05357142857142857,0.309375,12.210192138291081
0.10714285714285714,0.309375,7.572324756657281
0.1607142857142857,0.309375,4.273707085567938
0.21428571428571427,0.309375,2.2703860032638112
0.26785714285714285,0.309375,1.1238293626202265
0.3214285714285714,0.309375,0.8113895775317964
0.375,0.309375,0.8346827373487521
0.42857142857142855,0.309375,1.2449100319261137
0.4821428571428571,0.309375,3.328801454035675
0.5357142857142857,0.309375,4.793718862868083
0.5892857142857143,0.309375,8.574499979342855
0.0,0.37124999999999997,17.382442752687098
0.05357142857142857,0.37124999999999997,9.756654612701613
0.10714285714285714,0.37124999999999997,5.188924936800737
0.1607142857142857,0.37124999999999997,2.8792213963355446
0.21428571428571427,0.37124999999999997,1.4109629021425127
0.26785714285714285,0.37124999999999997,0.37697399207504684
0.3214285714285714,0.37124999999999997,0.2447280379586344
0.375,0.37124999999999997,0.7410226310613917
0.42857142857142855,0.37124999999999997,2.5371767712229927
0.4821428571428571,0.37124999999999997,4.7497585854045035
0.5357142857142857,0.37124999999999997,7.581015650566842
0.0,0.433125,15.656934808695581
0.05357142857142857,0.433125,8.001013035818827
0.10714285714285714,0.433125,4.237441582681703
0.1607142857142857,0.433125,1.9169859388406985
0.21428571428571427,0.433125,1.006048113357981
0.26785714285714285,0.433125,0.26841567725441534
0.3214285714285714,0.433125,0.7194868968006087
0.375,0.433125,1.9972909178400364
0.42857142857142855,0.433125,4.098939469575661
0.4821428571428571,0.433125,7.352531041094272
0.0,0.495,13.931426864704065
0.05357142857142857,0.495,7.619397567254773
0.10714285714285714,0.495,3.59807575166736
0.1607142857142857,0.495,1.4540649541792612
0.21428571428571427,0.495,0.7436013669765432
0.26785714285714285,0.495,1.0396537274198603
0.3214285714285714,0.495,2.1725285128379883
0.375,0.495,4.1357536979068055
0.42857142857142855,0.495,7.253639987802668
0.4821428571428571,0.495,11.898100408621026
0.0,0.556875,13.533825004003987
0.05357142857142857,0.556875,7.237782098690719
0.10714285714285714,0.556875,3.5351518715515824
0.1607142857142857,0.556875,1.9856979746506644
0.21428571428571427,0.556875,1.8433412620516982
0.26785714285714285,0.556875,2.7484955108850673
0.3214285714285714,0.556875,4.525277198776753
0.375,0.556875,7.297077389855365
0.42857142857142855,0.556875,12.093784239888707
0.0,0.61875,13.570495993028855
0.05357142857142857,0.61875,7.48832710130845
0.10714285714285714,0.61875,4.24172915437369
0.1607142857142857,0.61875,3.2665199477777955
0.21428571428571427,0.61875,3.649743902787522
0.26785714285714285,0.61875,5.179355627616713
0.3214285714285714,0.61875,7.6460898983785555
0.375,0.61875,12.506255553822772
0.0,0.680625,14.017015402436895
0.05357142857142857,0.680625,8.349572588735594
0.10714285714285714,0.680625,5.694229847530213
0.1607142857142857,0.680625,5.419808891055147
0.21428571428571427,0.680625,6.40673030967622
0.26785714285714285,0.680625,9.412072509396564
0.3214285714285714,0.680625,13.153945468479206
0.0,0.7424999999999999,14.84895880288633
0.05357142857142857,0.7424999999999999,9.98839133272574
0.10714285714285714,0.7424999999999999,8.153421045361597
0.1607142857142857,0.7424999999999999,8.430988149859052
0.21428571428571427,0.7424999999999999,11.153294076557732
0.26785714285714285,0.7424999999999999,14.979770873046856
0.0,0.804375,16.252859475267485
0.05357142857142857,0.804375,12.092045771960388
0.10714285714285714,0.804375,10.811756471506285
0.1607142857142857,0.804375,11.442167408662966
0.21428571428571427,0.804375,15.899857843439253
0.0,0.86625,18.09004076218963
0.05357142857142857,0.86625,14.727668420113876
0.10714285714285714,0.86625,13.892344771436832
0.1607142857142857,0.86625,17.139031667558875
0.0,0.928125,20.438250922759444
0.05357142857142857,0.928125,18.289648227579825
0.10714285714285714,0.928125,21.060562263924233
0.0,0.99,23.37523821608363
