fpr,tpr
0.0,0.0
2.4373924292398965e-05,0.007450262844959953
0.00014033512773711513,0.016805349418798025
0.00016291792464313186,0.02893630268338985
0.000387820766562607,0.04101486813083095
0.00046765480266534615,0.052551143713573126
0.0006658768080870015,0.06712789818340084
0.0007543896450078853,0.08050176524273642
0.0008419626727596522,0.09464317363745328
0.0011413976707754766,0.10909220404707057
0.0013190718591763696,0.1239108984210029
0.0016909598736561883,0.13914533417444844
0.0021015071197440964,0.1545065577730022
0.002646379554406177,0.168885797810592
0.0030276698837107714,0.18263038165892903
0.0035902144231030717,0.19640778181258364
0.00413191530796989,0.2096636281768082
0.004894512959962111,0.2228456304521175
0.006299747952332192,0.23557318982259626
0.008018800675030352,0.24632692724316865
0.010485031461484481,0.2567172741575962
0.012495516381878865,0.2660606032035948
0.01566065588314188,0.2752450289688391
0.01870718837758018,0.2833609621847785
0.022115519189585167,0.29106983620408755
0.02632623409237596,0.29884546434613646
0.030909605364824417,0.30680497850280886
0.03483253220109789,0.3152888614345255
0.03915268322100051,0.3231273006505894
0.04349666045006436,0.32913308380968354
0.046906637895054934,0.33485586245994836
0.05164579411328067,0.3415270178291059
0.055956471396190935,0.347472026622283
0.06135663946565315,0.3531857429197129
0.06761128385713783,0.3582429343333137
0.07268699149728623,0.36386805425143337
0.07866602964334732,0.369608717777002
0.08360166878700828,0.37443771819682325
0.08880729955753572,0.3805787513584762
0.09460058836456305,0.3872429664633975
0.10143407504352378,0.39255265071512535
0.10851784550786464,0.398878646441885
0.11499900625385959,0.4059637473460975
0.121543591255264,0.4125697052591573
0.1279043613108265,0.4197441291511176
0.13583241704390173,0.42623727915501286
0.14251581411414135,0.4331514639048653
0.14969918468239712,0.4399166152733154
0.15738635780139187,0.4454751248791089
0.1643167563731549,0.45269672457147603
0.17337021449782894,0.46002890309606437
0.18129638806736212,0.4675873036970385
0.19026759799287069,0.4762129876724413
0.19845107784271418,0.4844437679829199
0.2066938712802557,0.4931696473853225
0.21612524613078887,0.5007023494485777
0.22566717747604537,0.5089776555344607
0.23657447373548982,0.5181263137085201
0.2472721986300325,0.5273160917333325
0.25728347027693516,0.5372352244997937
0.26836801015885814,0.5442339439028445
0.2781740293885631,0.5542108075959533
0.2890257539889277,0.5650876404305597
0.29985602079038437,0.5754300432510498
0.31156228952578496,0.5840202781160571
0.3238020203789764,0.594717220087072
0.3352513352346771,0.6046494461428727
0.3468281720758932,0.6147929112784971
0.35973556175130494,0.624219015002632
0.37286570353720805,0.6348599633987871
0.38635267822727576,0.6446224190681719
0.398702550141031,0.6552581621564322
0.4124450628355719,0.6661887039175617
0.4246032457321346,0.6770075346210168
0.4387053755965111,0.6878764404681831
0.45197129982733514,0.7008085567259511
0.46802218387947814,0.7122593611723378
0.48327109904651244,0.7222016537093949
0.49584912255426883,0.7361654169241547
0.5113975654496724,0.7474600058070078
0.524316853770918,0.7598646111255992
0.5418756033703029,0.7719668699067708
0.5569036835936941,0.7863592075472002
0.5729471312498452,0.7995245934762834
0.5912584095135521,0.8105113192907282
0.6075886001227551,0.8222752600344828
0.6233705989645557,0.8356845030137615
0.6365670692827612,0.8459264383233313
0.6532058663812816,0.8591013683303106
0.6680061201357196,0.870982524344506
0.6851454316880283,0.8814627648506811
0.7014473981029571,0.893121434367619
0.7203165737369823,0.903862990006551
0.7365379669029566,0.9154175577583038
0.7508107843074274,0.9289019772485853
0.7701172448475104,0.9393632761733627
0.7871374925034584,0.9493294703678729
0.8065160944713603,0.9593386839849823
0.8273990201434233,0.9656001818685134
0.8481413939221012,0.9743668904404766
0.8789298347214116,0.9803058260152281
0.9093362934098096,0.9856655715856438
0.9422405971471924,0.9911196337057061
0.9792822592775726,0.9975210475613131
