fpr,tpr
0.0,0.0
9.05892036447111e-05,0.0066622844497944145
0.00012432265970147222,0.0166379982737202
0.00017318068281930467,0.027216583623902505
0.00039775828600053837,0.03841752554193953
0.0005643878902035833,0.050698599387725286
0.0006852986634399718,0.06323398499184352
0.0008285686260870045,0.07701184010919339
0.001009462768390657,0.09074062837338856
0.0013317409939495324,0.10511612513613265
0.0014736222613394383,0.12135307640406334
0.0016931455955149438,0.13511108372759248
0.0020008780763587273,0.15123637427480832
0.0027197749455456937,0.16497130898187015
0.003171159465993101,0.18085298442538125
0.003903959846928791,0.19431596504702286
0.004583372544119841,0.20696135746178726
0.005340608267711264,0.22019950887190615
0.007704027498256693,0.23191454164223885
0.009094003743092945,0.2426357430468783
0.010808930762899018,0.2536061294691581
0.012905947589684115,0.26289254059976747
0.015520388502303814,0.2728531174086432
0.01854490060350279,0.2815603438390571
0.02132132206061049,0.29026941165857606
0.025773269713640665,0.299088309383585
0.030438628462687505,0.30595768802180345
0.0352396179167383,0.3126122707875191
0.03826453348094553,0.3192952620367155
0.04214589927096237,0.32744127886406865
0.04586129501684455,0.33347090057802625
0.04978907809632975,0.34157488162680566
0.05452243803129464,0.3466497418216315
0.060047689999904716,0.352842663823286
0.06525852514065138,0.3580159996682525
0.0717575103941513,0.36315788567194335
0.07695391003601265,0.3692749794721332
0.08266281931904589,0.37624999587581076
0.08881499218008977,0.3814001221955844
0.0943474849543292,0.38761389636927523
0.10031738566487235,0.39352249598013644
0.10634343696964298,0.40010605872476074
0.11345136290622362,0.4068877971609485
0.1203079152469888,0.4127651880222177
0.12659850954202295,0.4199068303306084
0.1340280167200556,0.42660402930229263
0.1409799233383671,0.4340090919622752
0.14937882316328044,0.44083406138040304
0.15681586051030352,0.4469519120248653
0.16481358700651158,0.45331519015714067
0.17257009892160893,0.4605315770742016
0.1811100531125305,0.46765680009479854
0.19103659560082362,0.4752869224531822
0.20000034763052316,0.4843128534077769
0.20855432548523473,0.49220498252109185
0.2164307696720694,0.5023631459808677
0.22616929337766636,0.5110439526980615
0.23539202096710085,0.520258805024775
0.24367493669297519,0.5284631026329032
0.25416851384167777,0.5366204600970219
0.26554004452874286,0.5448391051625011
0.2773395720449995,0.5542199314512988
0.2870436458068564,0.5630240931964191
0.2978272213039519,0.5729388319117475
0.30906027878937953,0.5830374998028454
0.3215686233750655,0.5916917467235997
0.3320930106558502,0.6025081112624453
0.34628061873825466,0.6132307636404204
0.3600027286422442,0.6233399316700204
0.37433026310268325,0.6321725120517969
0.38630649676696716,0.6426210407467512
0.3979566446529733,0.6549641646877952
0.4110255013671087,0.6652731559917237
0.4253369155601572,0.6761426410481953
0.43860822317695325,0.6862296766535922
0.45195993013409663,0.6985086704798653
0.4649254066585133,0.7092498360230965
0.48029984655355856,0.7219494141910889
0.4966008806770599,0.7332447816869574
0.5115472088746603,0.7475571181997379
0.5264661561883208,0.7580546274214669
0.5412402553222833,0.7740564945376368
0.5580567721312594,0.7855799791962516
0.5767544682661727,0.7968396845860982
0.5920803128862113,0.8091025351773996
0.6085431064240403,0.8220865187979178
0.6226456355211699,0.8354599143641566
0.6390051491385332,0.8467870004427733
0.6553488326646776,0.8600012688478487
0.6695705627256907,0.8713530129607504
0.6877067411560442,0.8831723789753659
0.7044601176128674,0.8927350177889285
0.7210102230929968,0.9048005588165183
0.7361919738429575,0.9172692471802385
0.7518729802895736,0.9293564024277244
0.7690715783370025,0.9398267097755945
0.7878280571570331,0.9501150146583625
0.8069485018797825,0.9600118575195874
0.8260066093037941,0.9664091319094177
0.8488567717586583,0.9749986910156706
0.8787644440237761,0.9803833590276877
0.910231339145349,0.9862770008267304
0.9454793991342976,0.9919034026988411
0.9826024488543089,0.9975667997457295
