RunNum,GCD,LiveTime
118680,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00118680_0912_1_20_GCD_update_rde.i3.zst,28799.74
118690,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00118690_0915_1_20_GCD_update_rde.i3.zst,3455.48
118700,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00118700_0918_1_20_GCD_update_rde.i3.zst,28799.62
118710,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00118710_0922_1_20_GCD_update_rde.i3.zst,28799.65
118720,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00118720_0925_1_20_GCD_update_rde.i3.zst,28799.77
118730,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00118730_0928_1_20_GCD_update_rde.i3.zst,5733.66
118740,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00118740_0929_1_20_GCD_update_rde.i3.zst,28799.64
118750,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00118750_1003_1_20_GCD_update_rde.i3.zst,28800.33
118760,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00118760_1006_27_20_GCD_update_rde.i3.zst,18217.38
118770,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00118770_1009_1_20_GCD_update_rde.i3.zst,28799.93
118780,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00118780_1012_1_20_GCD_update_rde.i3.zst,28800.2
118790,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00118790_1016_1_20_GCD_update_rde.i3.zst,28799.64
118800,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00118800_1019_1_20_GCD_update_rde.i3.zst,28799.68
118810,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00118810_1022_1_20_GCD_update_rde.i3.zst,28800.28
118830,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00118830_1026_1_20_GCD_update_rde.i3.zst,28800.08
118840,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00118840_1029_4_20_GCD_update_rde.i3.zst,28800.16
118850,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00118850_1101_1_20_GCD_update_rde.i3.zst,28799.96
118860,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00118860_1104_4_20_GCD_update_rde.i3.zst,28799.84
118870,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00118870_1105_4_20_GCD_update_rde.i3.zst,28800.02
118880,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00118880_1107_1_20_GCD_update_rde.i3.zst,7434.51
118890,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00118890_1110_1_20_GCD_update_rde.i3.zst,21289.48
118900,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00118900_1111_1_20_GCD_update_rde.i3.zst,1272.24
118920,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00118920_1113_27_20_GCD_update_rde.i3.zst,18253.5
118970,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00118970_1119_1_20_GCD_update_rde.i3.zst,28799.89
118990,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00118990_1122_1_20_GCD_update_rde.i3.zst,28800.17
119000,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119000_1123_1_20_GCD_update_rde.i3.zst,12998.62
119020,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119020_1127_1_20_GCD_update_rde.i3.zst,28800.12
